carrier,origin,destination
DhlEcommerceAsia,AU,NZ
DhlEcs,US,AE
DhlEcs,US,AL
DhlEcs,US,AR
DhlEcs,US,AT
DhlEcs,US,AU
DhlEcs,US,BA
DhlEcs,US,BE
DhlEcs,US,BG
DhlEcs,US,BH
DhlEcs,US,BR
DhlEcs,US,CA
DhlEcs,US,CH
DhlEcs,US,CL
DhlEcs,US,CN
DhlEcs,US,CO
DhlEcs,US,CR
DhlEcs,US,CY
DhlEcs,US,CZ
DhlEcs,US,DE
DhlEcs,US,DK
DhlEcs,US,EC
DhlEcs,US,EE
DhlEcs,US,ES
DhlEcs,US,FI
DhlEcs,US,FO
DhlEcs,US,FR
DhlEcs,US,GB
DhlEcs,US,GL
DhlEcs,US,GR
DhlEcs,US,HK
DhlEcs,US,HR
DhlEcs,US,HU
DhlEcs,US,ID
DhlEcs,US,IE
DhlEcs,US,IL
DhlEcs,US,IN
DhlEcs,US,IS
DhlEcs,US,IT
DhlEcs,US,JE
DhlEcs,US,JP
DhlEcs,US,KR
DhlEcs,US,KW
DhlEcs,US,LK
DhlEcs,US,LT
DhlEcs,US,LU
DhlEcs,US,LV
DhlEcs,US,MK
DhlEcs,US,MT
DhlEcs,US,MX
DhlEcs,US,MY
DhlEcs,US,NL
DhlEcs,US,NO
DhlEcs,US,NZ
DhlEcs,US,OM
DhlEcs,US,PE
DhlEcs,US,PH
DhlEcs,US,PL
DhlEcs,US,PR
DhlEcs,US,PT
DhlEcs,US,QA
DhlEcs,US,RO
DhlEcs,US,RU
DhlEcs,US,SA
DhlEcs,US,SE
DhlEcs,US,SG
DhlEcs,US,SI
DhlEcs,US,SK
DhlEcs,US,TH
DhlEcs,US,TR
DhlEcs,US,TW
DhlEcs,US,UA
DhlEcs,US,US
DhlEcs,US,VI
DhlEcs,US,VN
DhlEcs,US,VU
DhlEcs,US,ZA
DhlEcs,US,BB
DhlEcs,US,GE
DhlEcs,US,MA
DhlEcs,US,NG
DhlEcs,US,RS
DhlEcs,US,UG
DhlEcs,US,UY
DhlEcs,US,EG
DhlEcs,US,IM
DhlEcs,US,KY
DhlEcs,US,KZ
DhlEcs,US,MC
DhlEcs,US,PK
DhlEcs,US,AW
DhlEcs,US,BY
DhlEcs,US,AF
DhlEcs,US,BO
DhlEcs,US,BS
DhlEcs,US,FM
DhlEcs,US,GH
DhlEcs,US,GT
DhlEcs,US,KE
DhlEcs,US,MO
DhlEcs,US,MV
DhlEcs,US,NA
DhlEcs,US,BZ
DhlEcs,US,GG
DhlEcs,US,ZM
DhlEcs,US,MD
DhlEcs,US,GI
DhlEcs,US,BM
DhlEcs,US,FJ
DhlEcs,US,MR
